STKSample2400-2	STKSample2403	STKSample50242	STKSample2408	STKSample2397	BCN0Sample118	BCN0Sample119	BCN0Sample110	BCN0Sample111	BCN0Sample112	BCN0Sample113	BCN0Sample114	BCN0Sample115	BCN0Sample116	BCN0Sample117	BCN0Sample051	BCN0Sample050	BCN0Sample053	BCN0Sample055	BCN0Sample054	BCN0Sample057	BCN0Sample056	BCN0Sample059	STKSample50181	BCN0Sample091	BCN0Sample123	BCN0Sample122	BCN0Sample042	BCN0Sample128	BCN0Sample015	BCN0Sample014	BCN0Sample017	BCN0Sample016	BCN0Sample011	BCN0Sample010	BCN0Sample013	BCN0Sample012	BCN0Sample019	BCN0Sample018	BCN0Sample160	BCN0Sample163	BCN0Sample162	BCN0Sample165	BCN0Sample164	BCN0Sample167	BCN0Sample166	BCN0Sample169	BCN0Sample168	BCN0Sample086	BCN0Sample087	BCN0Sample084	BCN0Sample125	BCN0Sample124	BCN0Sample126	BCN0Sample120	BCN0Sample048	BCN0Sample049	BCN0Sample046	BCN0Sample047	BCN0Sample044	BCN0Sample045	BCN0Sample129	BCN0Sample043	BCN0Sample040	BCN0Sample041	STKSample20229	BCN0Sample088	BCN0Sample089	STKSample2451	BCN0Sample083	STKSample2645	BCN0Sample002	BCN0Sample003	BCN0Sample001	BCN0Sample006	BCN0Sample004	BCN0Sample005	BCN0Sample009	BCN0Sample058	BCN0Sample170	BCN0Sample076	BCN0Sample075	BCN0Sample074	BCN0Sample073	BCN0Sample072	BCN0Sample071	BCN0Sample070	BCN0Sample182	BCN0Sample181	BCN0Sample186	BCN0Sample184	STKSample2460	STKSample50219	STKSample50607	BCN0Sample132	BCN0Sample133	BCN0Sample130	BCN0Sample131	BCN0Sample136	BCN0Sample134	BCN0Sample135	BCN0Sample033	BCN0Sample032	BCN0Sample031	BCN0Sample030	BCN0Sample037	BCN0Sample036	BCN0Sample035	BCN0Sample034	BCN0Sample147	BCN0Sample146	BCN0Sample145	BCN0Sample143	BCN0Sample142	BCN0Sample141	BCN0Sample140	BCN0Sample149	BCN0Sample148	BCN0Sample082	STKSampleC1	BCN0Sample150	BCN0Sample109	BCN0Sample159	BCN0Sample108	BCN0Sample103	BCN0Sample101	BCN0Sample100	BCN0Sample107	BCN0Sample106	BCN0Sample105	BCN0Sample104	BCN0Sample064	BCN0Sample066	BCN0Sample067	BCN0Sample060	BCN0Sample062	BCN0Sample063	BCN0Sample068	BCN0Sample069	BCN0Sample038	BCN0Sample138	STKSample50517	BCN0Sample039	STKSample2682	BCN0Sample028	BCN0Sample029	BCN0Sample020	BCN0Sample021	BCN0Sample022	BCN0Sample023	BCN0Sample024	BCN0Sample025	BCN0Sample026	BCN0Sample027	BCN0Sample139	BCN0Sample155	BCN0Sample156	BCN0Sample157	BCN0Sample099	BCN0Sample151	BCN0Sample152	BCN0Sample153	BCN0Sample095	BCN0Sample094	BCN0Sample097	BCN0Sample096	BCN0Sample158	BCN0Sample090	BCN0Sample093	BCN0Sample092
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	93	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	44	0	1	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	276	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
